now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-07-15 08:00:00,2016-07-17 20:00:00,59129,117.6,24.133000000000006,2.1130152399529862,1.4292718411816168,2.3,2.7188424526650232,2.3844101105977966,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8,2.2
2016-07-16 08:00:00,2016-07-18 20:00:00,59129,117.6,24.133000000000006,2.2231649854516387,1.4767845844811518,2.7,1.9343531810900096,2.0079337869675884,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5,3.8
2016-07-17 08:00:00,2016-07-19 20:00:00,59129,117.6,24.133000000000006,1.5680908512048888,1.1686289656001918,2.3,1.6756045633690468,1.4118222442713002,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9,2.5
2016-07-18 08:00:00,2016-07-20 20:00:00,59129,117.6,24.133000000000006,1.4992105415760093,1.6005409561308852,2.3,2.243315068814104,1.6766905863685817,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5,1.9
2016-07-19 08:00:00,2016-07-21 20:00:00,59129,117.6,24.133000000000006,1.6814801363659782,1.7562093183116758,1.7,1.9043051101838075,2.4821857453624148,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4,3.5
2016-07-20 08:00:00,2016-07-22 20:00:00,59129,117.6,24.133000000000006,1.6717872100959352,1.8627743844527915,2.9,1.5728359882550424,1.5162753826872462,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6,2.4
2016-07-21 08:00:00,2016-07-23 20:00:00,59129,117.6,24.133000000000006,0.9730917552354748,1.5886965750119089,1.7,1.7264505256732643,1.6225276191016698,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4,2.6
2016-07-22 08:00:00,2016-07-24 20:00:00,59129,117.6,24.133000000000006,1.2046004492853957,1.7323235570490851,2.9,1.2131695919694492,1.4199584541356722,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5,3.4
2016-07-23 08:00:00,2016-07-25 20:00:00,59129,117.6,24.133000000000006,1.1033423683676176,1.3653126143509553,1.6,0.7612523665867347,1.1814221017297968,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2,5.5
2016-07-24 08:00:00,2016-07-26 20:00:00,59129,117.6,24.133000000000006,1.3524138832798298,1.8351940317410247,4.5,1.1116889275244073,0.6828650604001042,1.7,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8,3.2
2016-07-25 08:00:00,2016-07-27 20:00:00,59129,117.6,24.133000000000006,1.6975293944985717,2.4234596557222403,2.6,1.2819370268191341,1.0478728968849509,2.9,1.7,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5,4.8
2016-07-26 08:00:00,2016-07-28 20:00:00,59129,117.6,24.133000000000006,1.6237203303305614,2.772655801842575,4.5,1.4986007631281308,1.6203893638411375,1.6,2.9,1.7,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0,2.5
2016-07-27 08:00:00,2016-07-29 20:00:00,59129,117.6,24.133000000000006,1.1240128219147842,1.9248392209184435,3.1,1.5754107557316706,1.4497312124595243,4.5,1.6,2.9,1.7,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5,2.0
2016-07-28 08:00:00,2016-07-30 20:00:00,59129,117.6,24.133000000000006,1.9969731123589205,2.1674472340046123,2.9,2.1088684168817817,1.2523069970906804,2.6,4.5,1.6,2.9,1.7,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9,3.5
2016-07-29 08:00:00,2016-07-31 20:00:00,59129,117.6,24.133000000000006,2.2747666641017146,3.4506787133664147,2.8,1.5959493882278628,2.0025041475549505,4.5,2.6,4.5,1.6,2.9,1.7,2.9,1.7,2.3,2.3,2.7,2.3,2.0,3.9,1.9
2016-08-30 08:00:00,2016-09-01 20:00:00,59129,117.6,24.133000000000006,1.1731561598495286,0.9231467954409708,1.9,1.6712067866005031,1.4486629845247945,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1,2.5,2.1,3.2,5.5,5.0,5.4
2016-08-31 08:00:00,2016-09-02 20:00:00,59129,117.6,24.133000000000006,1.1855351491747128,1.888035992195341,2.3,1.1893177537868536,1.5712142897223151,2.5,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1,2.5,2.1,3.2,5.5,5.0
2016-09-01 08:00:00,2016-09-03 20:00:00,59129,117.6,24.133000000000006,2.2982415988038705,2.3334538839621928,3.8,1.431817577011206,0.9523950493550241,1.9,2.5,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1,2.5,2.1,3.2,5.5
2016-09-02 08:00:00,2016-09-04 20:00:00,59129,117.6,24.133000000000006,1.4568692912260928,1.8842545091806642,2.3,2.2806525640664512,2.150931228388942,1.9,1.9,2.5,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1,2.5,2.1,3.2
2016-09-03 08:00:00,2016-09-05 20:00:00,59129,117.6,24.133000000000006,1.6796546757835282,1.5766886309779693,3.2,1.6229936000052347,3.307689515986046,2.3,1.9,1.9,2.5,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1,2.5,2.1
2016-09-04 08:00:00,2016-09-06 20:00:00,59129,117.6,24.133000000000006,0.8424749025392779,1.4788151576217388,2.8,1.1300837412097655,1.2565487239698114,3.8,2.3,1.9,1.9,2.5,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1,2.5
2016-09-05 08:00:00,2016-09-07 20:00:00,59129,117.6,24.133000000000006,1.6825715517747613,2.0675460426723475,1.5,1.3655544334248628,2.085157858710176,2.3,3.8,2.3,1.9,1.9,2.5,2.6,3.8,2.2,2.9,2.1,2.0,2.4,2.4,2.1
